"ID","ACCOUNTID","ACCOUNT.NAME","AMOUNT","CLOSEDATE","CONTRACT_END_DATE__C","DESCRIPTION","FORECASTCATEGORY","FORECASTCATEGORYNAME","HASOPENACTIVITY","HASOPPORTUNITYLINEITEM","HASOVERDUETASK","ISCLOSED","ISWON","LEADSOURCE","NAME","NEXTSTEP","PROBABILITY","STAGENAME","TYPE"
"0060b00000pOu1mAAC","0010b00002EBgMVAA1","Quonk","","2016-12-05","2017-03-10","","Closed","Closed","false","false","false","true","true","","Quonk - New Business - 201626","","0.0","ClosedWon","New Business"
"0060b00000pOu8XAAS","0010b00002EBgLhAAL","Acacia Saint","","2019-07-28","","","Pipeline","Pipeline","false","false","false","false","false","","Acacia Saint - Existing Business - 2018920","","0.0","Stage1","Existing Business"
"0060b00000pOu99AAC","0010b00002EBgMoAAL","Bradtke and Sons","","2019-07-28","","","Pipeline","Pipeline","false","false","false","false","false","","Bradtke and Sons - Existing Business - 2018825","","0.0","Stage2","Existing Business"
"0060b00000pSB04AAG","0010b00002EBgN3AAL","Air Pool","1620.0","2019-10-28","","","BestCase","Best Case","false","false","false","false","false","","Air Pool - New Business - 201895","","50.0","Stage3","New Business"
"0060b00000pSB0EAAW","0010b00002EBgLNAA1","Minimizer?s","77400.0","2019-10-28","","","BestCase","Best Case","false","false","false","false","false","","Minimizer’s - New Business - 201892","","0.0","Stage3","New Business"
"0060b00000pSB0JAAW","0010b00002EBgNfAAL","Drive Vibe","210180.0","2019-11-25","","","Pipeline","Pipeline","false","false","false","false","false","Email","Drive Vibe - New Business - 2018913","","10.0","Stage1","New Business"
"0060b00000pSB0OAAW","0010b00002EBgNPAA1","QUICK ? Query Utility and Information Collection Kiosks","87740.0","2019-11-25","","","Forecast","Commit","false","false","false","false","false","Website","QUICK – Query Utility and Information Collection Kiosks - New Business - 201882","","0.0","Stage5","New Business"
"0060b00000rVtrOAAS","0010b00002OaD33AAF","Bonanza Produce Stores","35000.0","2019-05-31","2020-06-30","","Closed","Closed","false","false","false","true","true","","Bonanza Produce Store - 2019531","","100.0","ClosedWon",""
"0060b00000rVtrTAAS","0010b00002OaD7QAAV","Royal Gas","42500.0","2019-06-12","","","Closed","Closed","false","false","false","true","true","","Royal Gas - 2019612","","100.0","ClosedWon",""
"0060b00000rVtrdAAC","0010b00002OaCzCAAV","Peter Reeves","38750.0","2019-06-15","","","Closed","Closed","false","false","false","true","true","","Peter Reeves - 2019615","","100.0","ClosedWon",""
"0060b00000rVtrnAAC","0010b00002OaCxoAAF","Happy Family","15000.0","2019-06-02","","","Closed","Closed","false","false","false","true","true","","Happy Family - 2019602","","100.0","ClosedWon",""
"0060b00000rWA0PAAW","0010b00002EBgNLAA1","Abbott-Turner","500000.0","2019-07-27","","","Pipeline","Pipeline","false","false","false","false","false","","Mobile App","","10.0","Stage1",""
"0060b00000rWA5FAAW","0010b00002EBgQ2AAL","MEETSITE.COM","100000.0","2019-08-30","","","Pipeline","Pipeline","false","false","false","false","false","","CPQ","","10.0","Qualification",""
